시간,규모,진앙(km),위도,경도,위치
2016-09-24 19:56:21,2.5,15,35.79,129.19,경북 경주시 남남서쪽 6km 지역
2016-09-28 16:34:30,3.1,13,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-28 18:54:22,2.8,1,38.74,125.69,북한 황해북도 송림시 동쪽 5km 지역
2016-09-28 19:00:03,2.6,0,38.74,125.73,북한 황해북도 송림시 동쪽 8km 지역
2016-09-28 21:10:34,2.7,15,35.77,129.17,경북 경주시 남남서쪽 9km 지역
2016-09-30 11:09:47,2.1,15,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-09-30 16:24:16,2.0,17,35.77,129.16,경북 경주시 남남서쪽 9km 지역
2016-09-30 18:06:36,2.3,16,35.76,129.16,경북 경주시 남남서쪽 10km 지역
2016-09-30 21:52:49,2.2,15,35.75,129.18,경북 경주시 남남서쪽 10km 지역
2016-10-01 13:04:16,2.0,15,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-10-01 17:00:34,2.3,15,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-10-02 20:53:07,3.0,18,35.75,129.19,경북 경주시 남남서쪽10km 지역
2016-10-04 15:16:44,2.6,15,35.76,129.19,경북 경주시 남남서쪽9km 지역
2016-10-05 23:29:16,2.3,35,38.76,125.62,북한 황해북도 송림시 북북서쪽 3km 지역
2016-10-07 17:17:58,2.2,17,35.77,129.23,경북 경주시 남쪽 8km 지역
2016-10-09 14:03:00,2.2,11,35.08,126.93,광주 동구 남쪽 7km 지역
2016-10-10 22:59:10,3.3,17,35.75,129.18,경북 경주시 남남서쪽 10km 지역
2016-10-12 00:29:36,2.9,18,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-10-14 08:20:58,2.3,15,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-10-15 18:55:18,2.5,16,35.74,129.18,경북 경주시 남남서쪽 11km 지역
2016-10-15 23:49:08,2.2,12,35.76,129.17,경북 경주시 남남서쪽 10km 지역
2016-10-20 12:17:07,2.4,15,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-10-21 10:13:53,2.2,14,36.46,126.87,충남 청양군 동쪽 6km 지역
2016-10-21 12:47:49,2.6,12,35.75,129.17,경북 경주시 남남서쪽 11km 지역
2016-10-23 03:00:04,2.7,14,35.78,129.20,경북 경주시 남남서쪽 7km 지역
2016-10-24 09:02:01,2.2,7,37.25,127.02,경기 수원시 권선구 동쪽 4km 지역
2016-10-25 03:23:06,2.0,15,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-10-25 19:57:37,2.4,8,35.70,129.37,경북 경주시 남동쪽 21km 지역
2016-11-02 03:01:43,2.3,10,33.53,126.88,제주 제주시 동쪽 33km 지역
2016-11-03 03:46:06,2.1,14,35.75,129.18,경북 경주시 남남서쪽 10km 지역
2016-11-03 10:02:26,2.3,18,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-11-03 10:36:23,2.3,11,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-11-03 23:35:52,2.6,16,35.32,128.49,경남 함안군 북동쪽 9km 지역
2016-11-06 06:26:22,3.5,12,33.76,125.07,전남 신안군 흑산면 남남서쪽 106km 해역
2016-11-09 20:55:44,2.3,20,36.55,129.60,경북 영덕군 북동쪽 26km 해역
2016-11-10 22:37:52,2.5,18,36.46,129.89,경북 영덕군 동쪽 47km 해역
2016-11-13 02:27:23,2.3,0,38.76,125.66,북한 황해북도 송림시 북동쪽 3km 지역
2016-11-13 21:52:57,3.5,10,36.36,126.63,충남 보령시 북북동쪽 4km 지역
2016-11-15 12:22:59,2.5,9,38.35,128.09,북한 강원도 금강군 남남동쪽 29km 지역
2016-11-15 16:27:40,2.0,18,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-11-16 23:15:44,2.1,6,34.86,125.08,전남 신안군 흑산면 서북서쪽 43km 해역
2016-11-18 02:02:35,2.0,13,35.51,128.09,경남 합천군 남서쪽 9km 지역
2016-11-19 03:29:02,2.1,14,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-11-25 18:53:58,2.3,14,35.75,129.17,경북 경주시 남남서쪽 11km 지역
2016-11-27 06:53:12,2.5,10,36.34,127.33,대전 유성구 남서쪽 3km 지역
2016-11-27 20:08:46,2.2,12,36.02,127.39,충남 금산군 남서쪽 13km 지역
2016-11-28 20:57:26,2.4,18,35.77,129.19,경북 경주시 남남서쪽 8km 지역
2016-11-28 23:33:02,2.2,10,38.49,126.14,북한 황해북도 평산군 북서쪽 28km 지역
2016-11-29 10:09:22,2.9,17,33.40,125.72,제주 제주시 고산 서북서쪽 43km 해역
2016-12-02 04:45:42,2.1,14,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-12-05 00:47:03,2.1,14,35.77,129.18,경북 경주시 남남서쪽 8km 지역
2016-12-05 07:42:21,2.1,21,35.81,129.72,경북 포항시 남구 남동쪽 39km 해역
2016-12-07 22:34:14,2.4,0,37.18,125.48,인천 옹진군 연평도 남남서쪽 57km 해역
2016-12-09 11:30:45,2.4,8,35.69,129.36,경북 경주시 남동쪽 21km 지역
2016-12-10 00:51:13,2.1,18,35.77,129.17,경북 경주시 남남서쪽 9km 지역
2016-12-10 15:51:54,2.0,12,37.63,129.68,강원 삼척시 동북동쪽 50km 해역
2016-12-11 16:05:36,2.6,14,36.07,125.57,충남 태안군 서격렬비도 남쪽 59km 해역
2016-12-12 04:46:32,2.2,13,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-12-12 17:53:17,3.3,16,35.76,129.18,경북 경주시 남남서쪽 9km 지역
2016-12-14 10:05:28,2.1,12,36.54,128.08,경북 상주시 북북서쪽 16km 지역
2016-12-14 17:20:34,3.3,12,35.76,129.17,경북 경주시 남남서쪽 10km 지역
2016-12-15 17:14:53,2.1,14,35.76,129.19,경북 경주시 남남서쪽 9km 지역
2016-12-22 21:13:32,2.2,18,34.45,128.54,경남 통영시 매물도 남쪽 22km 해역
2016-12-23 05:31:32,2.2,10,36.12,129.36,경북 포항시 북구 북쪽 9km 지역
2016-12-25 01:59:43,2.4,17,35.25,129.39,부산 기장군 동쪽 15km 해역
2016-12-25 06:29:09,2.5,11,35.78,129.31,경북 경주시 남동쪽 11km 지역
2016-12-29 05:53:11,2.6,6,38.71,125.76,북한 황해북도 송림시 동남동쪽 11km 지역
